"","lon","lat","value","latrow","lonrow","ID","site.name"
"1",-99.75,35.25,279.345794677734,1,1,1,"site1"
"2",-99.75,45.25,279.345794677734,21,1,2,"site2"
"3",-99.75,40.25,279.345794677734,11,1,3,"site3"
"4",-97.25,42.75,279.345794677734,16,6,4,"site4"
"5",-97.25,35.25,279.345794677734,1,6,5,"site5"
"6",-97.25,37.75,279.345794677734,6,6,6,"site6"
"7",-97.25,47.75,279.345794677734,26,6,7,"site7"
"8",-95.25,47.25,279.345794677734,25,10,8,"site8"
"9",-94.75,40.25,279.345794677734,11,11,9,"site9"
"10",-94.75,35.25,279.345794677734,1,11,10,"site10"
"11",-94.75,45.25,279.345794677734,21,11,11,"site11"
"12",-94.75,46.25,279.346649169922,23,11,12,"site12"
"13",-92.25,35.25,279.345794677734,1,16,13,"site13"
"14",-92.25,47.75,279.345794677734,26,16,14,"site14"
"15",-92.25,37.75,279.345794677734,6,16,15,"site15"
"16",-92.25,42.75,279.345794677734,16,16,16,"site16"
"17",-89.75,46.25,279.346649169922,23,21,17,"site17"
"18",-89.75,45.25,279.345794677734,21,21,18,"site18"
"19",-89.75,40.25,279.345794677734,11,21,19,"site19"
"20",-89.75,35.25,279.345794677734,1,21,20,"site20"
"21",-87.25,37.75,279.345794677734,6,26,21,"site21"
"22",-87.25,35.25,279.345794677734,1,26,22,"site22"
"23",-84.75,35.25,279.345794677734,1,31,23,"site23"
"24",-84.75,40.25,279.345794677734,11,31,24,"site24"
"25",-82.75,43.75,279.345794677734,18,35,25,"site25"
"26",-82.25,37.75,279.345794677734,6,36,26,"site26"
"27",-82.25,42.75,279.345794677734,16,36,27,"site27"
"28",-82.25,47.75,279.345794677734,26,36,28,"site28"
"29",-79.75,45.25,279.345794677734,21,41,29,"site29"
"30",-79.75,35.25,279.345794677734,1,41,30,"site30"
"31",-79.75,40.25,279.345794677734,11,41,31,"site31"
"32",-77.25,37.75,279.345794677734,6,46,32,"site32"
"33",-77.25,42.75,279.345794677734,16,46,33,"site33"
"34",-74.75,40.25,279.345794677734,11,51,34,"site34"
"35",-74.75,45.25,279.345794677734,21,51,35,"site35"
"36",-72.25,42.75,279.346649169922,16,56,36,"site36"
"37",-72.25,47.75,279.345794677734,26,56,37,"site37"
"38",-68.75,45.25,279.346649169922,21,63,38,"site38"
"39",-67.25,47.75,279.345794677734,26,66,39,"site39"
"40",-64.75,45.25,279.345794677734,21,71,40,"site40"
